design_id,call_deltas,call_spread_widths,dte,put_deltas,put_spread_widths,strategy_type,take_profit_pct
121,0.01,,3,-0.055,,short_strangle,0.875
122,0.02,,3,-0.055,,short_strangle,0.875
123,0.03,,3,-0.055,,short_strangle,0.875
124,0.01,,3,-0.055,,short_strangle,1.0
125,0.02,,3,-0.055,,short_strangle,1.0
126,0.03,,3,-0.055,,short_strangle,1.0
127,0.01,,4,-0.055,,short_strangle,0.75
128,0.02,,4,-0.055,,short_strangle,0.75
129,0.03,,4,-0.055,,short_strangle,0.75
130,0.01,,4,-0.055,,short_strangle,0.875
131,0.02,,4,-0.055,,short_strangle,0.875
132,0.03,,4,-0.055,,short_strangle,0.875
133,0.01,,4,-0.055,,short_strangle,1.0
134,0.02,,4,-0.055,,short_strangle,1.0
135,0.03,,4,-0.055,,short_strangle,1.0
136,0.01,,0,-0.065,,short_strangle,0.75
137,0.02,,0,-0.065,,short_strangle,0.75
138,0.03,,0,-0.065,,short_strangle,0.75
139,0.01,,0,-0.065,,short_strangle,0.875
140,0.02,,0,-0.065,,short_strangle,0.875
141,0.03,,0,-0.065,,short_strangle,0.875
142,0.01,,0,-0.065,,short_strangle,1.0
143,0.02,,0,-0.065,,short_strangle,1.0
144,0.03,,0,-0.065,,short_strangle,1.0
145,0.01,,1,-0.065,,short_strangle,0.75
146,0.02,,1,-0.065,,short_strangle,0.75
147,0.03,,1,-0.065,,short_strangle,0.75
148,0.01,,1,-0.065,,short_strangle,0.875
149,0.02,,1,-0.065,,short_strangle,0.875
150,0.03,,1,-0.065,,short_strangle,0.875
151,0.01,,1,-0.065,,short_strangle,1.0
152,0.02,,1,-0.065,,short_strangle,1.0
153,0.03,,1,-0.065,,short_strangle,1.0
154,0.01,,2,-0.065,,short_strangle,0.75
155,0.02,,2,-0.065,,short_strangle,0.75
156,0.03,,2,-0.065,,short_strangle,0.75
157,0.01,,2,-0.065,,short_strangle,0.875
158,0.02,,2,-0.065,,short_strangle,0.875
159,0.03,,2,-0.065,,short_strangle,0.875
160,0.01,,2,-0.065,,short_strangle,1.0
161,0.02,,2,-0.065,,short_strangle,1.0
